Qty, PROD_ID, Names, Value, Package
2, CAP-08280, C2; C3, 4.7uF,603
3, CAP-00868, C4; C5; C9, 1.0uF,603
2, CAP-07881, C6; C7, 15pF,603
1, CAP-11015, C8, 10uF,603
2, CAP-00810, C10; C11, 0.1uF,603
1, CAP-00867, C12, 10nF,603
1, CAP-07886, C15, 1nF,603
1, CAP-08913, C16, 47pF,603
1, CAP-11812, C17, 10pF,603
2, DIO-09003, D1; D6, Yellow, LED-0603
2, DIO-14072, D2; D3, 3A/10V/280mV, SOD-323
1, DIO-00819, D4, RED, LED-0603
1, DIO-00821, D5, GREEN, LED-0603
1, DIO-08575, D7, BLUE, LED-0603
1, CONN-11443, J1, , JST-2-SMD
1, CONN-14122, J5, USB-C, USB-C-16P
1, CONN-13694, J6, , JST04_1MM_RA
1, CONN-09193, J8, U.FL, U.FL
5, RES-07856, R1; R4; R7; R8; R12, 1k,603
1, RES-08296, R2, 2.0k,603
1, RES-00824, R3, 10k,603
2, RES-12083, R5; R6, 5.1k,603
1, RES-07828, R11, 100k,603
1, SWCH-13065, S1, RESET, TACTILE_SWITCH_SMD_4.6X2.8MM
1, SWCH-13065, S2, USER, TACTILE_SWITCH_SMD_4.6X2.8MM
1, IC-09995, U1, MCP73831, SOT23-5
1, VREG-12457, U2, 3.3V, SOT23-5
1, , U3, NM180100, LGA81
1, IC-14135, U4, CH340E_MSOP10, MSOP10
1, , U6, DPX202700DT-4162A1, RF_4060A1_TDK
1, XTAL-13062, Y1, 32.768kHz, CRYSTAL-SMD-3.2X1.5MM
